word,details,definition,grammaticalClass,stage
"a, ab",+ abl (also used as prefix with verbs),"from, by (as prefix = away)",prep,21
absum,abesse,"be out, be absent, be away",verb irreg,6
"ac, atque",indecl.,and,conj,28
accido,"accidere, accidi",happen,verb 3,25
accipio,"accipere, accepi, acceptus","accept, take in, receive",verb 3,10
ad,+ acc (also used as prefix with verbs),"to, towards, at",prep,3
adeo,indecl.,"so much, so greatly",adv,27
adiuvo,"adiuvare, adiuvi, adiutus",help,verb 1,21
adsum,adesse,"be here, be present",verb irreg,5
advenio,"advenire, adveni",arrive,verb 4,13
ago,"agere, egi, actus","do, act, drive",verb 3,4
aliquis,aliquid,"someone, something",pron,14
alius,"alia, aliud","other, another, else",pron/adj ,15
alter,"altera, alterum","the other, another, the second of two",pron/adj,13
altus,"alta, altum","high, deep",adj 1+2,31
ambulo,"ambulare, ambulavi",walk,verb 1,5
amicus,"amici, m.",friend,noun 2,2
amo,"amare, amavi, amatus","love, like",verb 1,19
amor,"amoris, m.",love,noun 3,22
ancilla,"ancillae, f.","slave-girl, maid",noun 1,2
animus,"animi, m.","spirit, soul, mind",noun 2,17
annus,"anni, m.",year,noun 2,21
ante ,+ acc,"before, in front of",prep,31
antea,indecl.,before,adv,27
aperio,"aperire, aperui, apertus",open,verb 4,25
appareo,"apparere, apparui",appear,verb 2,27
appropinquo,"appropinquare, appropinquavi + dat","approach, come near to",verb 1,17
apud,+ acc,"among, with, at the house of",prep,14
aqua,"aquae, f.",water,noun 1,15
audax,audacis,"bold, daring",adj 3,24
audio,"audire, audivi, auditus","hear, listen to",verb 4,5
aufero,"auferre, abstuli, ablatus","take away, carry off, steal",verb irreg,26
aut ... aut ,indecl.,either ... or ...,conj,39
bellum,"belli, n.",war,noun 2,26
bene,indecl.,well,adv,17
benignus,"benigna, benignum","kind, generous",adj 1+2,17
bibo,"bibere, bibi",drink,verb 3,3
bonus,"bona, bonum",good,adj 1+2,16
brevis,breve,"short, brief",adj 3,33
cado,"cadere, cecidi, casus ",fall,verb 3,39
caelum,"caeli, n.","sky, heaven",noun 2,22
canis,"canis, m",dog,noun 3,1
capio,"capere, cepi, captus","take, catch, capture, adopt (a plan)",verb 3,11
caput,"capitis, n.",head,noun 3,18
carus,"cara, carum",dear,adj 1+2,19
celer,celere,"quick, fast",adj 3,9
celo,"celare, celavi, celatus",hide,verb 1,21
cena,"cenae, f.","dinner, meal",noun 1,2
centum,indecl.,a hundred,adj (numerical indecl.),28
ceteri,"ceterae, cetera","the rest, the others",adj 1+2 plural,13
cibus,"cibi, m.",food,noun 2,2
circum,+ acc (also used as prefix with verbs),around,prep,21
civis,"civis, m.f.",citizen,noun 3,11
clamo,"clamare, clamavi, clamatus",shout,verb 1,3
clamor,"clamoris, m.","shout, shouting, noise",noun 3,5
coepi,"coepisse, coeptus",began (past tenses only),verb irreg,18
cogito,"cogitare, cogitavi, cogitatus","think, consider",verb 1,19
cognosco,"cognoscere, cognovi, cognitus","get to know, find out, learn",verb 3,18
cogo,"cogere, coegi, coactus","force, compel",verb 3,25
comes,"comitis, m.f.","comrade, companion",noun 3,27
conficio,"conficere, confeci, confectus","finish; wear out, exhaust",verb 3,19
conor,"conari, conatus sum",try,verb 1,34
consilium,"consilii, n.","plan, idea, advice",noun 2,16
conspicio,"conspicere, conspexi, conspectus","catch sight of, notice",verb 3,7
constituo,"constituere, constitui, constitutus",decide,verb 3,28
consumo,"consumere, consumpsi, consumptus",eat,verb 3,8
contra,+ acc,against,prep,33
corpus,"corporis, n.",body,noun 3,28
